,Time,BUT,DMA
153,1.54e-10,1.3264938482727712e-15,8.958207612898815e-16
154,1.55e-10,1.2648680716075433e-15,9.039922631028652e-16
155,1.56e-10,1.2376161060246586e-15,8.781585309466466e-16
156,1.57e-10,1.1684651295023326e-15,8.527392593666572e-16
157,1.5800000000000002e-10,1.2111189225322832e-15,8.815003383125345e-16
158,1.5900000000000002e-10,1.1427749053964236e-15,8.592975881322735e-16
159,1.6000000000000002e-10,1.2329406104430633e-15,8.909538799441235e-16
160,1.61e-10,1.2020775022170629e-15,8.855975217642143e-16
161,1.62e-10,1.2823688842872024e-15,8.623672342647552e-16
162,1.63e-10,1.251267951833516e-15,8.267550256729703e-16
163,1.64e-10,1.261417648884578e-15,8.452085257481126e-16
164,1.6500000000000002e-10,1.1909320163454057e-15,7.918027295642167e-16
165,1.6600000000000002e-10,1.2925745983965725e-15,8.874263464147937e-16
166,1.6700000000000002e-10,1.3263119854792639e-15,9.084266555036033e-16
167,1.6800000000000001e-10,1.3528612153868612e-15,8.667469550751146e-16
168,1.69e-10,1.4361789501402654e-15,9.020356679172628e-16
169,1.7e-10,1.319264390140496e-15,8.762022156620604e-16
170,1.71e-10,1.3919467521294112e-15,9.239383746557262e-16
171,1.72e-10,1.4571757832098112e-15,8.781553576276921e-16
172,1.7300000000000002e-10,1.4370882677396374e-15,8.782851294999657e-16
173,1.7400000000000002e-10,1.4425982421888513e-15,8.664969820633958e-16
174,1.7500000000000002e-10,1.395713059879048e-15,8.882115275754739e-16
175,1.76e-10,1.3945344705530392e-15,8.820851985303861e-16
176,1.77e-10,1.3402255209887643e-15,8.786779504915421e-16
177,1.78e-10,1.2967700154542726e-15,8.463308803355389e-16
178,1.79e-10,1.3696997618274446e-15,8.99106278686055e-16
179,1.8000000000000002e-10,1.3941419753666226e-15,8.604467993962175e-16
180,1.8100000000000002e-10,1.4070104726344636e-15,8.615517318487098e-16
181,1.8200000000000002e-10,1.391233899695152e-15,8.849562627948423e-16
182,1.8300000000000001e-10,1.5064362455290911e-15,9.065640074110176e-16
183,1.84e-10,1.3669447553579504e-15,8.654838731974699e-16
184,1.85e-10,1.3966787417351785e-15,8.568671428873041e-16
185,1.86e-10,1.3651539297307028e-15,8.717755845932221e-16
186,1.8700000000000003e-10,1.3579881957435384e-15,8.659579750478572e-16
187,1.8800000000000002e-10,1.3582641858254407e-15,8.870292952483888e-16
188,1.8900000000000002e-10,1.4484735949355011e-15,8.881944701452487e-16
189,1.9000000000000002e-10,1.3800103125000231e-15,8.991563656531643e-16
