,compound,x,Temperature,rho,w_mass,w_vol,time,D,Viscosity,D0,E
55,butanol,100.0,18.69999999999999,0.7,100.0,100.0,1306.8461538461538,88439.39393939401,3.299999999999997,294247430.08677375,19660.651840746672
56,butanol,100.0,18.80000000000001,0.7,100.0,100.0,1296.6666666666667,88469.696969697,3.2999999999999985,294247430.08677375,19660.651840746672
57,butanol,100.0,18.899999999999977,0.7,100.0,100.0,1327.5,89039.63414634143,3.2800000000000007,294247430.08677375,19660.651840746672
58,butanol,100.0,19.0,0.6999999999999998,100.0,100.0,1359.5,89342.50764525992,3.27,294247430.08677375,19660.651840746672
59,butanol,100.0,19.100000000000023,0.7,100.0,100.0,1354.6153846153845,89373.08868501532,3.2699999999999982,294247430.08677375,19660.651840746672
60,butanol,100.0,19.19999999999999,0.7,100.0,100.0,1338.857142857143,89131.09756097566,3.2799999999999976,294247430.08677375,19660.651840746672
61,butanol,100.0,19.30000000000001,0.7,100.0,100.0,1402.6666666666667,89984.61538461542,3.2499999999999987,294247430.08677375,19660.651840746672
62,butanol,100.0,19.399999999999977,0.6999999999999998,100.0,100.0,1394.8333333333333,90015.38461538452,3.250000000000003,294247430.08677375,19660.651840746672
63,butanol,100.0,19.5,0.7,100.0,100.0,1428.6666666666667,90324.0740740741,3.239999999999999,294247430.08677375,19660.651840746672
64,butanol,100.0,19.600000000000023,0.7,100.0,100.0,1477.6136363636363,90916.14906832304,3.2199999999999984,294247430.08677375,19660.651840746672
65,butanol,100.0,19.69999999999999,0.6999999999999998,100.0,100.0,1523.0,91230.52959501563,3.2099999999999977,294247430.08677375,19660.651840746672
66,butanol,100.0,19.80000000000001,0.7,100.0,100.0,1528.0,91261.68224299068,3.209999999999999,294247430.08677375,19660.651840746672
67,butanol,100.0,19.899999999999977,0.7,100.0,100.0,1530.0,83968.4813753582,3.4899999999999984,294247430.08677375,19660.651840746672
68,butanol,100.0,20.0,0.7,100.0,100.0,1559.3846153846155,92185.53459119494,3.1800000000000006,294247430.08677375,19660.651840746672
69,butanol,100.0,20.100000000000023,0.7,100.0,100.0,1553.111111111111,92216.9811320755,3.179999999999999,294247430.08677375,19660.651840746672
70,butanol,100.0,20.19999999999999,0.7,100.0,100.0,1548.6,92248.427672956,3.179999999999999,294247430.08677375,19660.651840746672
71,butanol,100.0,20.399999999999977,0.7,100.0,100.0,1573.5,92895.56962025307,3.160000000000003,294247430.08677375,19660.651840746672
72,butanol,100.0,20.5,0.7,100.0,100.0,1575.5,92927.21518987346,3.1599999999999984,294247430.08677375,19660.651840746672
73,butanol,100.0,20.600000000000023,0.7,100.0,100.0,1604.7692307692307,85641.39941690965,3.4299999999999975,294247430.08677375,19660.651840746672
74,butanol,100.0,20.69999999999999,0.6999999999999998,100.0,100.0,1608.0,85670.55393585999,3.430000000000002,294247430.08677375,19660.651840746672
75,butanol,100.0,20.80000000000001,0.6999999999999998,100.0,100.0,1585.3333333333333,93416.83993441188,3.1466666666666647,294247430.08677375,19660.651840746672
76,butanol,100.0,20.899999999999977,0.6999999999999998,100.0,100.0,1585.0,93349.20634920632,3.150000000000001,294247430.08677375,19660.651840746672
77,butanol,100.0,21.0,0.7,100.0,100.0,1619.5,94278.84615384608,3.120000000000002,294247430.08677375,19660.651840746672
78,butanol,100.0,21.100000000000023,0.7,100.0,100.0,1650.5,94919.35483870971,3.099999999999999,294247430.08677375,19660.651840746672
