,Time,PET
128,1.2900000000000002e-10,4.856885558046967e-16
129,1.3000000000000002e-10,4.664060973865485e-16
130,1.31e-10,4.819092130961474e-16
131,1.32e-10,4.822100846688363e-16
132,1.33e-10,4.848743064168857e-16
133,1.34e-10,4.639766924717943e-16
134,1.35e-10,4.668121904399868e-16
135,1.3600000000000002e-10,4.544029754739071e-16
136,1.3700000000000002e-10,4.722443940462992e-16
137,1.3800000000000001e-10,4.804313083241939e-16
138,1.39e-10,4.794122237290357e-16
139,1.4e-10,4.8617314813431e-16
140,1.41e-10,4.967062107129751e-16
141,1.42e-10,4.909785243361472e-16
142,1.4300000000000002e-10,4.868053137626997e-16
