,x,Temperature,rho,w_mass,w_vol,D,Viscosity,E,D0,compound
58,49.74658006446841,15,1.51,14.919999999999995,32.184571428571424,5170.586961340974,55.8125,40587.76124729059,122102057730.1823,ocm
59,49.746580064468404,20,1.5100000000000002,14.920000000000002,32.18457142857143,7113.482861005371,41.29389834195308,40587.761247290575,122102057730.18228,ocm
60,49.74658006446841,25,1.5100000000000002,14.920000000000002,32.18457142857143,9594.610287280833,31.113346560846562,40587.761247290575,122102057730.18227,ocm
61,49.74658006446841,30,1.5100000000000002,14.920000000000002,32.18457142857143,12554.16084589489,24.17240707877354,40587.761247290575,122102057730.18227,ocm
62,49.74658006446841,40,1.5100000000000002,14.919999999999996,32.18457142857143,19793.959393896665,15.81851851851852,40587.76124729058,122102057730.1823,ocm
63,54.47455477060662,15,1.49,17.49,37.22871428571429,5991.045262078969,48.17896564708673,40377.62260692136,127315462674.2793,ocm
64,54.474554770606616,20,1.4899999999999998,17.490000000000002,37.22871428571429,8217.609677031413,35.75280112134628,40377.62260692136,127315462674.2793,ocm
65,54.47455477060662,25,1.49,17.49,37.22871428571429,10889.57747259809,27.395267013688066,40377.62260692136,127315462674.2793,ocm
66,54.474554770606616,30,1.4899999999999998,17.490000000000002,37.22871428571429,14187.255075939229,21.389416666666662,40377.62260692136,127315462674.2793,ocm
67,54.47455477060663,40,1.49,17.490000000000002,37.228714285714275,22054.752531460257,14.182291666666666,40377.62260692136,127315462674.2793,ocm
68,58.51213109647345,15,1.4899999999999998,19.99,42.55014285714285,6831.044351376202,42.226359649122806,40133.277971428826,129823128965.73865,ocm
69,58.51213109647345,20,1.4899999999999995,19.990000000000002,42.55014285714286,9190.94210269816,31.9398781694496,40133.277971428826,129823128965.73865,ocm
70,58.51213109647345,25,1.4899999999999995,19.990000000000002,42.55014285714286,12322.370451425877,24.21938775510204,40133.277971428826,129823128965.73865,ocm
71,58.51213109647345,30,1.4899999999999995,19.990000000000002,42.55014285714286,15970.803388414799,19.000211640211642,40133.277971428826,129823128965.73865,ocm
72,58.51213109647345,40,1.4899999999999995,19.990000000000002,42.55014285714286,25754.78860674202,12.166666666666666,40133.277971428826,129823128965.73865,ocm
73,0.0,25,1.1999999999999997,0.0,0.0,338.9800833801245,883.9520905681618,74837.64773503778,4484462025363796.5,peta
74,0.0,30,1.1999999999999997,0.0,0.0,571.4588258399887,532.2637087102594,74837.64773503778,4484462025363797.0,peta
75,0.0,40,1.2,0.0,0.0,1429.7008879926827,219.27177613581765,74837.64773503778,4484462025363797.5,peta
76,19.858184845915822,15,1.18,5.799999999999998,9.77714285714286,446.4159687186617,647.5980902226307,65196.797488297096,296127290254767.9,peta
77,19.858184845915826,20,1.18,5.799999999999999,9.777142857142856,724.4179152313433,406.21302427868864,65196.79748829709,296127290254767.9,peta
78,19.858184845915826,25,1.18,5.8,9.777142857142856,1151.244207120653,259.8163397766225,65196.79748829709,296127290254767.8,peta
79,19.858184845915826,30,1.18,5.799999999999999,9.777142857142856,1772.196063473416,171.46666846220756,65196.79748829709,296127290254767.9,peta
80,19.85818484591582,40,1.18,5.8,9.77714285714286,3623.7319943069465,86.33773590225564,65196.797488297096,296127290254767.9,peta
81,30.30247224387825,15,1.16,9.75,16.157142857142855,930.0331959601589,310.70199999999994,57886.572809831196,28532991848857.348,peta
82,30.302472243878253,20,1.16,9.75,16.15714285714285,1409.003895791695,208.93297037033162,57886.57280983121,28532991848857.36,peta
83,30.302472243878253,25,1.16,9.75,16.15714285714285,2078.6435914392578,143.87747969344306,57886.5728098312,28532991848857.355,peta
84,30.302472243878256,30,1.16,9.75,16.157142857142855,3099.7918938316025,98.02002529656205,57886.57280983121,28532991848857.355,peta
85,30.30247224387825,40,1.16,9.75,16.15714285714285,5927.8987172435445,52.81115757305215,57886.572809831225,28532991848857.35,peta
86,41.33617952828523,15,1.14,14.899999999999999,24.26571428571429,1756.9398438983526,164.55350323982822,52199.28493527887,5296568511996.638,peta
87,41.33617952828523,20,1.1400000000000001,14.899999999999999,24.26571428571429,2685.610928427338,109.43713222395053,52199.28493527886,5296568511996.638,peta
88,41.33617952828523,25,1.14,14.900000000000002,24.26571428571429,3873.4370814767026,77.06730878470228,52199.28493527886,5296568511996.637,peta
89,41.33617952828523,30,1.1400000000000001,14.899999999999997,24.26571428571429,5431.526652963337,55.878060581568356,52199.28493527886,5296568511996.638,peta
90,41.33617952828523,40,1.1400000000000001,14.899999999999999,24.26571428571429,9899.27971675064,31.669931972789104,52199.28493527886,5296568511996.638,peta
91,49.775459382209114,15,1.11,19.76,31.333714285714297,3040.431432314201,95.07641845808513,46404.63942492264,823653316011.1375,peta
92,49.775459382209114,20,1.1099999999999999,19.759999999999998,31.333714285714304,4477.934233253267,65.59972844859314,46404.63942492264,823653316011.1373,peta
93,49.77545938220912,25,1.11,19.76,31.333714285714294,6219.358652989908,47.991778060097225,46404.63942492264,823653316011.1376,peta
94,49.775459382209114,30,1.11,19.76,31.333714285714294,8408.512228306841,36.10217808097022,46404.63942492264,823653316011.1376,peta
95,49.77545938220912,40,1.11,19.759999999999998,31.333714285714287,14429.14146642312,21.70363548942221,46404.63942492264,823653316011.1376,peta
