,Time,BUT,OCM
113,1.1400000000000001e-10,1.4604914060973829e-16,6.625065958046512e-17
114,1.15e-10,1.4460257503559747e-16,6.843578160159789e-17
115,1.1600000000000001e-10,1.4785554621366271e-16,7.0843374233499e-17
116,1.17e-10,1.5064093056179698e-16,6.842711522431503e-17
117,1.18e-10,1.4334717909917177e-16,7.035048672200966e-17
118,1.19e-10,1.4394940535021025e-16,6.644846190242415e-17
119,1.2e-10,1.4391966604839574e-16,6.968553993349826e-17
120,1.2100000000000002e-10,1.4822281215956634e-16,7.09571728369561e-17
121,1.2200000000000002e-10,1.5489754871329766e-16,6.950178407678444e-17
122,1.2300000000000001e-10,1.5505920604104455e-16,7.058078836567638e-17
123,1.24e-10,1.5925808534515583e-16,7.139425081744644e-17
124,1.25e-10,1.6747799732578868e-16,7.29578151521857e-17
125,1.26e-10,1.5169523270856992e-16,7.293841184223025e-17
126,1.27e-10,1.4125200713175146e-16,7.152413027553565e-17
127,1.28e-10,1.4819511060980825e-16,7.302233825232521e-17
128,1.2900000000000002e-10,1.4517377483587447e-16,7.376932269259246e-17
129,1.3000000000000002e-10,1.5309487217746756e-16,7.200142706151708e-17
130,1.31e-10,1.5297564963596048e-16,7.644431382774539e-17
131,1.32e-10,1.4599031357891784e-16,7.578755824559501e-17
132,1.33e-10,1.5179671504141436e-16,7.399705463419984e-17
133,1.34e-10,1.498701202745656e-16,7.233837336817448e-17
134,1.35e-10,1.4911876333650406e-16,7.378522046386207e-17
135,1.3600000000000002e-10,1.6622177382006147e-16,7.576016483235635e-17
136,1.3700000000000002e-10,1.5451480199850418e-16,7.367320286332377e-17
137,1.3800000000000001e-10,1.5665444794466236e-16,7.322142542488302e-17
138,1.39e-10,1.474936509195259e-16,7.412553705192725e-17
139,1.4e-10,1.5587764973852893e-16,7.376263583248093e-17
140,1.41e-10,1.5745152773500735e-16,7.400983623280716e-17
141,1.42e-10,1.5746168259718033e-16,7.564997407379057e-17
142,1.4300000000000002e-10,1.5374165148605603e-16,8.003790633266366e-17
143,1.4400000000000002e-10,1.575117811443482e-16,7.604282628548687e-17
144,1.4500000000000002e-10,1.4679915558966817e-16,7.288466015706786e-17
145,1.46e-10,1.638410383924575e-16,7.389445449250112e-17
146,1.47e-10,1.6297641277507545e-16,7.649426056147128e-17
147,1.48e-10,1.5505442973951642e-16,7.621190430369979e-17
148,1.49e-10,1.5892132604100788e-16,7.42831009961769e-17
149,1.5e-10,1.524189620766102e-16,7.759833371401512e-17
