,Time,PET,BUT
575,5.760000000000001e-10,5.648247169217816e-16,1.9817978712036617e-15
576,5.770000000000001e-10,6.389735620559596e-16,2.0553989216869574e-15
577,5.780000000000001e-10,5.685698428995554e-16,2.0212215583584797e-15
578,5.790000000000001e-10,5.921175358108235e-16,1.952887278493977e-15
579,5.800000000000001e-10,5.935634481524127e-16,2.0251205255166597e-15
580,5.810000000000001e-10,5.768089287661732e-16,1.9875468788114847e-15
581,5.820000000000001e-10,5.786896029612992e-16,1.9737971881644492e-15
582,5.830000000000001e-10,5.887319379956953e-16,2.038385364013189e-15
583,5.84e-10,6.043509410608689e-16,2.0168023354500597e-15
584,5.85e-10,5.740545052410923e-16,2.0188647669218397e-15
585,5.86e-10,5.709720630555422e-16,2.0432491317389926e-15
586,5.87e-10,5.981267642240515e-16,2.0015169209781366e-15
587,5.88e-10,6.034446498489386e-16,2.0458686547299024e-15
588,5.89e-10,5.819477745637442e-16,2.0195165588406257e-15
589,5.9e-10,6.157136104288488e-16,1.9975545149053093e-15
590,5.91e-10,5.976108671298677e-16,2.004729058515889e-15
591,5.92e-10,6.141145995380513e-16,2.109185900427458e-15
592,5.93e-10,6.055263835519373e-16,2.095149608786814e-15
593,5.94e-10,5.982529009321706e-16,1.985966572321636e-15
594,5.95e-10,5.687043101861962e-16,2.0411301971531462e-15
595,5.96e-10,5.898077227304051e-16,2.054826997914337e-15
596,5.97e-10,5.849142522703853e-16,2.058152333143503e-15
597,5.98e-10,5.82665270042518e-16,2.0767585873354e-15
598,5.99e-10,5.825064519753097e-16,2.042376005676945e-15
599,6e-10,5.934079680572681e-16,2.0635230556002726e-15
600,6.010000000000001e-10,5.553312931319429e-16,2.1750409179727034e-15
601,6.020000000000001e-10,6.254679417110284e-16,2.1229288327555304e-15
602,6.030000000000001e-10,5.607689484926301e-16,2.0134511992684268e-15
603,6.040000000000001e-10,6.226447704580282e-16,2.1428940968919398e-15
604,6.050000000000001e-10,6.00053485738267e-16,2.095468449444888e-15
605,6.060000000000001e-10,6.010487375168333e-16,1.9972458745021584e-15
606,6.070000000000001e-10,5.812508559014731e-16,2.0513193103025452e-15
607,6.080000000000001e-10,6.008650501221266e-16,2.042663169537115e-15
608,6.090000000000001e-10,5.783773396789577e-16,2.10334869696392e-15
609,6.100000000000001e-10,5.975274869322512e-16,2.081628471097547e-15
610,6.110000000000001e-10,6.080440159168662e-16,2.096352676514954e-15
611,6.120000000000001e-10,5.870722103947754e-16,2.0714141624321192e-15
612,6.130000000000001e-10,5.942606080460394e-16,2.0818023892480136e-15
613,6.14e-10,6.100605664452304e-16,2.0452229679106336e-15
614,6.15e-10,6.518171176626983e-16,2.0724549563994667e-15
615,6.16e-10,5.919289838934905e-16,2.108212868340752e-15
616,6.17e-10,6.07568034403299e-16,2.0731063378037573e-15
617,6.18e-10,6.316428226785951e-16,2.059988939991177e-15
618,6.19e-10,6.133751641133768e-16,2.075290470958528e-15
619,6.2e-10,6.302708552652832e-16,2.1734328144084216e-15
620,6.21e-10,6.137850922653e-16,2.0853602898892506e-15
621,6.22e-10,6.189400598147313e-16,2.1143001289726156e-15
622,6.23e-10,6.027093885641727e-16,2.155347831209446e-15
623,6.24e-10,6.319801195765684e-16,2.172474447264094e-15
624,6.25e-10,6.062001196310817e-16,2.177102501907363e-15
625,6.26e-10,6.23036093050257e-16,2.1150120529974388e-15
626,6.27e-10,6.341436368493802e-16,2.1211157392051315e-15
627,6.28e-10,6.390155419453605e-16,2.1435639691869614e-15
628,6.29e-10,6.057767675387427e-16,2.0881624635157073e-15
629,6.300000000000001e-10,6.277303730280687e-16,2.1434614662499837e-15
630,6.310000000000001e-10,6.160775304736613e-16,2.0577566496705377e-15
631,6.320000000000001e-10,6.025321567745089e-16,2.175292230251293e-15
632,6.330000000000001e-10,5.971524776545009e-16,2.0574895242724615e-15
633,6.340000000000001e-10,5.849143175130137e-16,2.0578989235486754e-15
634,6.350000000000001e-10,6.212156340355523e-16,2.1735894461334097e-15
635,6.360000000000001e-10,6.029280005967956e-16,2.1162974191327265e-15
636,6.370000000000001e-10,6.22477036576294e-16,2.0878362377187506e-15
637,6.380000000000001e-10,6.369989535285712e-16,2.125988080702478e-15
638,6.390000000000001e-10,6.137301736343354e-16,2.133979863994957e-15
639,6.400000000000001e-10,6.070292675549305e-16,2.107299432064332e-15
640,6.410000000000001e-10,5.984853715943732e-16,1.996117223804742e-15
641,6.420000000000001e-10,5.958690413472491e-16,2.037615426969766e-15
