,Time,DMA
206,2.07e-10,1.132833843749613e-15
207,2.08e-10,1.1855967415906928e-15
208,2.0900000000000003e-10,1.169677059514192e-15
209,2.1000000000000002e-10,1.188608631829274e-15
210,2.1100000000000002e-10,1.176312443424526e-15
211,2.1200000000000002e-10,1.1852679935729309e-15
212,2.1300000000000001e-10,1.1663111533787423e-15
213,2.14e-10,1.1544635504388125e-15
214,2.15e-10,1.190210743000968e-15
215,2.1600000000000003e-10,1.2360115973810923e-15
216,2.1700000000000003e-10,1.2203068981130596e-15
217,2.1800000000000002e-10,1.2275811019426036e-15
218,2.1900000000000002e-10,1.2015271029215424e-15
219,2.2000000000000002e-10,1.2310182803809754e-15
220,2.21e-10,1.206878511127029e-15
221,2.22e-10,1.2141676448584e-15
222,2.23e-10,1.1952891924973937e-15
223,2.2400000000000003e-10,1.2438129824679614e-15
224,2.2500000000000002e-10,1.2491201477979506e-15
225,2.2600000000000002e-10,1.2717663002513806e-15
226,2.2700000000000002e-10,1.26051079037937e-15
227,2.2800000000000001e-10,1.2498215309810235e-15
228,2.29e-10,1.249858932563883e-15
229,2.3e-10,1.3061084344982686e-15
230,2.3100000000000003e-10,1.2366575532087877e-15
231,2.3200000000000003e-10,1.2907366994516566e-15
232,2.33e-10,1.2896210819557898e-15
233,2.34e-10,1.2633247334069523e-15
234,2.35e-10,1.2288511847975393e-15
235,2.36e-10,1.2481673043199552e-15
236,2.37e-10,1.2418336064090884e-15
237,2.38e-10,1.2775499168121052e-15
238,2.39e-10,1.263384912194928e-15
239,2.4e-10,1.2855315637612288e-15
240,2.41e-10,1.2905746959955935e-15
241,2.4200000000000004e-10,1.2631406055040637e-15
242,2.4300000000000004e-10,1.247234470187865e-15
243,2.4400000000000004e-10,1.2892563521172674e-15
244,2.4500000000000003e-10,1.266502365481034e-15
245,2.4600000000000003e-10,1.2585176257340304e-15
246,2.4700000000000003e-10,1.2607614360216162e-15
247,2.48e-10,1.299290523917178e-15
248,2.49e-10,1.3327355141265997e-15
249,2.5e-10,1.3116755575150215e-15
250,2.51e-10,1.3726139573037812e-15
251,2.52e-10,1.3416031084027704e-15
252,2.53e-10,1.3373227717152776e-15
253,2.54e-10,1.3476558495947734e-15
254,2.55e-10,1.3284863698068416e-15
255,2.56e-10,1.3024769341295843e-15
256,2.5700000000000004e-10,1.3034323321224144e-15
257,2.5800000000000004e-10,1.3130172341278662e-15
258,2.5900000000000004e-10,1.317503544686253e-15
259,2.6000000000000003e-10,1.3357549058167136e-15
260,2.6100000000000003e-10,1.3324810443112439e-15
261,2.62e-10,1.3310699245997538e-15
262,2.63e-10,1.3122974001970327e-15
263,2.64e-10,1.2961081910046264e-15
264,2.65e-10,1.3492801055287055e-15
265,2.66e-10,1.3520028220681296e-15
266,2.67e-10,1.3756670669454598e-15
267,2.68e-10,1.3123503674194315e-15
268,2.69e-10,1.3817229255151206e-15
269,2.7e-10,1.3758336802409497e-15
270,2.7100000000000005e-10,1.4043296406122901e-15
271,2.7200000000000004e-10,1.374696011497829e-15
272,2.7300000000000004e-10,1.3792478482720902e-15
273,2.7400000000000004e-10,1.3665550854203599e-15
274,2.7500000000000003e-10,1.3717937870538933e-15
275,2.7600000000000003e-10,1.3696142153166024e-15
276,2.77e-10,1.3915185387674262e-15
277,2.78e-10,1.4225184544099415e-15
278,2.79e-10,1.375583426262714e-15
279,2.8e-10,1.3820475846634052e-15
280,2.81e-10,1.4092609944562299e-15
281,2.82e-10,1.4082702941564133e-15
282,2.83e-10,1.3659399616657142e-15
283,2.84e-10,1.3777332997947972e-15
284,2.85e-10,1.3485083412344665e-15
285,2.8600000000000005e-10,1.33936957833864e-15
286,2.8700000000000004e-10,1.3226776619470168e-15
287,2.8800000000000004e-10,1.3360596063564492e-15
288,2.8900000000000004e-10,1.3700336219410025e-15
289,2.9000000000000003e-10,1.3722174799231518e-15
290,2.9100000000000003e-10,1.31705689801916e-15
291,2.92e-10,1.3588207074490036e-15
292,2.93e-10,1.4114792449004814e-15
293,2.94e-10,1.3633629190359323e-15
294,2.95e-10,1.3284646610794887e-15
295,2.96e-10,1.358645098626599e-15
296,2.97e-10,1.3950520717012551e-15
297,2.98e-10,1.3492288524921812e-15
298,2.99e-10,1.3569060021904367e-15
299,3e-10,1.3812747989217478e-15
300,3.0100000000000005e-10,1.3973112309809797e-15
301,3.0200000000000004e-10,1.3938575830720787e-15
302,3.0300000000000004e-10,1.3825583033769367e-15
303,3.0400000000000004e-10,1.4156434879873131e-15
304,3.0500000000000003e-10,1.3961672668038623e-15
305,3.0600000000000003e-10,1.4439412069184079e-15
306,3.07e-10,1.4290703849558166e-15
307,3.08e-10,1.403828708426502e-15
308,3.09e-10,1.441250654075821e-15
309,3.1e-10,1.4068784654290967e-15
310,3.11e-10,1.411143003886617e-15
311,3.12e-10,1.3910388124301202e-15
312,3.13e-10,1.4035730744948792e-15
313,3.14e-10,1.4612708369094037e-15
314,3.1500000000000005e-10,1.4727768535844157e-15
315,3.1600000000000005e-10,1.449569310913583e-15
316,3.1700000000000004e-10,1.4379606174925783e-15
317,3.1800000000000004e-10,1.4931887769670345e-15
318,3.1900000000000004e-10,1.4605845454571324e-15
319,3.2000000000000003e-10,1.4888430225279491e-15
320,3.2100000000000003e-10,1.41535452969654e-15
321,3.22e-10,1.4603757151253477e-15
322,3.23e-10,1.4527032138987763e-15
323,3.24e-10,1.454956344036048e-15
324,3.25e-10,1.4620902522216942e-15
